0.0,24929,347700
0.0001,24160,347697
0.0004,24132,347697
0.0009,24036,347682
0.0016,24014,347661
0.0025,23984,347634
0.0036,23918,347538
0.0049,23825,347424
0.0064,23726,347307
0.0081,23633,347151
0.01,23505,346863
0.0121,23398,346602
0.0144,23250,346122
0.0169,23042,345342
0.0196,22943,344958
0.0225,22720,343491
0.0256,22446,342030
0.0289,22081,339438
0.0324,21768,336741
0.0361,21526,335190
0.04,21258,333123
0.0441,20668,327747
0.0484,20096,322977
0.0529,19459,317094
0.0576,18937,312210
0.0625,18455,307347
0.0676,17864,300957
0.0729,17139,292983
0.0784,16673,288195
0.0841,15972,278787
0.09,15408,272805
0.0961,14804,265665
0.1024,14228,258381
0.1089,13539,248400
0.1156,12829,239862
0.1225,12404,234294
0.1296,11934,227976
0.1369,11480,221682
0.1444,10692,210129
0.1521,10212,203604
0.16,9710,195297
0.1681,9009,185154
0.1764,8437,175722
0.1849,8008,168678
0.1936,7557,160560
0.2025,7027,150765
0.2116,6698,144822
0.2209,6472,141228
0.2304,6045,131898
0.2401,5680,125535
0.25,5096,114555
0.2601,4854,109902
0.2704,4439,100236
0.2809,4111,92589
0.2916,3790,85794
0.3025,3496,78237
0.3136,3335,74493
0.3249,2855,63303
0.3364,2623,58098
0.3481,2267,49968
0.36,2010,43374
0.3721,1587,32187
0.3844,1503,30357
0.3969,1438,28377
0.4096,1252,25038
0.4225,1172,23403
0.4356,1115,21690
0.4489,1040,20160
0.4624,875,16413
0.4761,775,13617
0.49,775,13617
0.5041,695,11781
0.5184,606,10155
0.5329,532,8478
0.5476,381,5154
0.5625,277,3099
0.5776,199,1953
0.5929,107,741
0.6084,52,192
0.6241,52,192
0.64,52,192
0.6561,52,192
0.6724,31,81
0.6889,23,54
0.7056,23,54
0.7225,23,54
0.7396,13,15
0.7569,9,9
0.7744,9,9
0.7921,5,3
0.81,5,3
0.8281,5,3
0.8464,5,3
0.8649,0,0
0.8836,0,0
0.9025,0,0
0.9216,0,0
0.9409,0,0
0.9604,0,0
0.9801,0,0
1.0,0,0
