0.0,0,0
0.0001,0,0
0.0004,2,0
0.0009,2,0
0.0016,2,0
0.0025,2,0
0.0036,4,0
0.0049,5,0
0.0064,16,0
0.0081,16,0
0.01,20,0
0.0121,27,0
0.0144,36,0
0.0169,36,0
0.0196,56,6
0.0225,66,6
0.0256,90,9
0.0289,112,15
0.0324,139,21
0.0361,197,48
0.04,240,63
0.0441,321,126
0.0484,419,240
0.0529,480,255
0.0576,625,432
0.0625,767,594
0.0676,866,678
0.0729,1101,1215
0.0784,1354,1809
0.0841,1547,2238
0.09,1795,2802
0.0961,2010,3327
0.1024,2400,5247
0.1089,2722,7026
0.1156,3012,7935
0.1225,3122,8220
0.1296,3390,9216
0.1369,3830,11412
0.1444,4266,13695
0.1521,4639,15900
0.16,5099,18453
0.1681,5557,20814
0.1764,5948,22836
0.1849,6286,25158
0.1936,6663,28713
0.2025,7247,33036
0.2116,7557,34494
0.2209,7815,36531
0.2304,8578,43383
0.2401,9320,50994
0.25,9819,55956
0.2601,10144,57693
0.2704,10348,59463
0.2809,10722,63174
0.2916,11421,68952
0.3025,11969,73845
0.3136,12548,81441
0.3249,12697,83559
0.3364,13348,90258
0.3481,13827,94395
0.36,14448,102780
0.3721,14448,102780
0.3844,14867,108771
0.3969,15186,111921
0.4096,15744,116508
0.4225,15869,118071
0.4356,16401,127161
0.4489,17081,136584
0.4624,17209,138597
0.4761,17209,138597
0.49,17619,143655
0.5041,17794,148509
0.5184,18871,171135
0.5329,19803,187074
0.5476,20394,200022
0.5625,20604,205593
0.5776,21032,216678
0.5929,21746,238677
0.6084,21746,238677
0.6241,21746,238677
0.64,21746,238677
0.6561,21746,238677
0.6724,22032,247608
0.6889,22677,265953
0.7056,22677,265953
0.7225,22677,265953
0.7396,23300,288186
0.7569,23300,288186
0.7744,23300,288186
0.7921,23667,302157
0.81,23667,302157
0.8281,23667,302157
0.8464,23667,302157
0.8649,24385,329670
0.8836,24385,329670
0.9025,24385,329670
0.9216,24385,329670
0.9409,24385,329670
0.9604,24385,329670
0.9801,24385,329670
1.0,24929,347700
