0.0,2,0
0.0001,2,0
0.0004,2,0
0.0009,2,0
0.0016,2,0
0.0025,2,0
0.0036,4,0
0.0049,6,0
0.0064,12,0
0.0081,17,0
0.01,19,0
0.0121,23,0
0.0144,34,0
0.0169,45,0
0.0196,52,0
0.0225,69,6
0.0256,87,6
0.0289,120,15
0.0324,167,36
0.0361,194,51
0.04,242,99
0.0441,334,180
0.0484,417,216
0.0529,528,309
0.0576,618,420
0.0625,701,471
0.0676,867,696
0.0729,1050,936
0.0784,1254,1632
0.0841,1456,2007
0.09,1716,2868
0.0961,1888,3195
0.1024,2138,3945
0.1089,2481,5958
0.1156,2823,7200
0.1225,3023,7977
0.1296,3238,8682
0.1369,3468,9465
0.1444,4058,12648
0.1521,4325,13830
0.16,4642,15849
0.1681,5143,18429
0.1764,5628,21144
0.1849,6138,25116
0.1936,6592,27345
0.2025,7063,31545
0.2116,7346,33399
0.2209,7648,35631
0.2304,7985,38034
0.2401,8516,41751
0.25,9407,51669
0.2601,9694,53676
0.2704,10102,57159
0.2809,10445,61218
0.2916,10894,63804
0.3025,11211,66207
0.3136,11447,69087
0.3249,12042,74034
0.3364,12592,82176
0.3481,13122,87468
0.36,13609,94245
0.3721,14448,102780
0.3844,14698,104391
0.3969,14805,106203
0.4096,15398,112140
0.4225,15726,117288
0.4356,15837,118809
0.4489,16129,122850
0.4624,16780,130281
0.4761,17056,134976
0.49,17056,134976
0.5041,17370,140478
0.5184,17981,147741
0.5329,18322,156534
0.5476,19086,171348
0.5625,19608,183114
0.5776,20202,195705
0.5929,21068,218199
0.6084,21746,238677
0.6241,21746,238677
0.64,21746,238677
0.6561,21746,238677
0.6724,22331,258297
0.6889,22677,265953
0.7056,22677,265953
0.7225,22677,265953
0.7396,22937,275928
0.7569,23300,288186
0.7744,23300,288186
0.7921,23667,302157
0.81,23667,302157
0.8281,23667,302157
0.8464,23667,302157
0.8649,24385,329670
0.8836,24385,329670
0.9025,24385,329670
0.9216,24385,329670
0.9409,24385,329670
0.9604,24385,329670
0.9801,24385,329670
1.0,24929,347700
