0.0,0,0
0.0001,0,0
0.0004,0,0
0.0009,0,0
0.0016,0,0
0.0025,0,0
0.0036,0,0
0.0049,0,0
0.0064,0,0
0.0081,4,0
0.01,4,0
0.0121,11,0
0.0144,13,0
0.0169,16,0
0.0196,16,0
0.0225,33,0
0.0256,39,0
0.0289,55,0
0.0324,64,0
0.0361,78,0
0.04,102,6
0.0441,132,9
0.0484,202,45
0.0529,233,60
0.0576,338,96
0.0625,463,177
0.0676,592,318
0.0729,718,408
0.0784,941,702
0.0841,1172,1032
0.09,1367,1224
0.0961,1683,1617
0.1024,1842,1878
0.1089,2241,2868
0.1156,2664,4125
0.1225,3045,5892
0.1296,3307,7098
0.1369,3861,9537
0.1444,4510,12585
0.1521,5003,15768
0.16,5605,19173
0.1681,6020,21768
0.1764,6632,25563
0.1849,7249,29946
0.1936,7789,33384
0.2025,8550,38391
0.2116,9159,43431
0.2209,9733,47712
0.2304,10446,54864
0.2401,10683,57117
0.25,11527,67329
0.2601,12009,72258
0.2704,12803,82122
0.2809,12803,82122
0.2916,13171,87120
0.3025,14065,96906
0.3136,14653,103749
0.3249,15174,109443
0.3364,15292,110988
0.3481,15292,110988
0.36,15727,118905
0.3721,16718,133074
0.3844,17209,138486
0.3969,17724,147084
0.4096,18654,167766
0.4225,19044,175755
0.4356,20085,199626
0.4489,20507,209874
0.4624,20975,218823
0.4761,20975,218823
0.49,21218,226467
0.5041,21728,242607
0.5184,22002,247836
0.5329,22002,247836
0.5476,22002,247836
0.5625,22591,268272
0.5776,22591,268272
0.5929,22591,268272
0.6084,22591,268272
0.6241,22591,268272
0.64,22927,278760
0.6561,23275,286842
0.6724,23275,286842
0.6889,24009,314202
0.7056,24385,329670
0.7225,24385,329670
0.7396,24385,329670
0.7569,24385,329670
0.7744,24385,329670
0.7921,24385,329670
0.81,24385,329670
0.8281,24385,329670
0.8464,24385,329670
0.8649,24385,329670
0.8836,24385,329670
0.9025,24385,329670
0.9216,24385,329670
0.9409,24385,329670
0.9604,24385,329670
0.9801,24385,329670
1.0,24929,347700
